question_id,category,difficulty,strategy,approach_mean,approach_ci,accuracy_mean,accuracy_ci,sources_mean,sources_ci,Failed,iterations,tool_calls,tokens,duration_s,total_input_tokens,total_output_tokens,total_cached_tokens,input_tokens,output_tokens,cached_tokens,reasoning_tokens
140,Markets data retrieval and analysis,Medium,accuracy,3,"[3.000, 3.000]",0.0,"[0.000, 0.000]",3,"[3.000, 3.000]",True,2,1,75677,12.4,75281,396,73984,75281,396,73984,256
141,Markets data retrieval and analysis,Medium,accuracy,4,"[4.000, 4.000]",0.0,"[0.000, 0.000]",3,"[3.000, 3.000]",False,6,5,341317,146.5,340153,1164,226432,340153,1164,226432,384
144,Markets data retrieval and analysis,Medium,accuracy,4,"[4.000, 4.000]",0.0,"[0.000, 0.000]",4,"[4.000, 4.000]",False,5,4,270456,28.2,269419,1037,157824,269419,1037,157824,384
153,Markets data retrieval and analysis,Medium,accuracy,5,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2,"[2.000, 2.000]",False,5,4,59447,24.2,58777,670,53248,58777,670,53248,128
156,Markets data retrieval and analysis,Medium,accuracy,5,"[5.000, 5.000]",1.0,"[1.000, 1.000]",2,"[2.000, 2.000]",False,9,8,108494,272.7,107526,968,100864,107526,968,100864,256
172,Markets data retrieval and analysis,Medium,accuracy,3,"[3.000, 3.000]",0.7,"[0.700, 0.700]",1,"[1.000, 1.000]",False,6,5,163923,26.1,163163,760,97920,163163,760,97920,256
188,Knowledge retrieval and interpretation,Easy,attributes,3,"[3.000, 3.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",True,2,1,89703,10.0,89261,442,19456,89261,442,19456,256
196,Knowledge retrieval and interpretation,Easy,attributes,3,"[3.000, 3.000]",0.5,"[0.500, 0.500]",3,"[3.000, 3.000]",False,5,4,391794,28.5,390874,920,187648,390874,920,187648,384
204,Knowledge retrieval and interpretation,Easy,attributes,5,"[5.000, 5.000]",0.8,"[0.800, 0.800]",3,"[3.000, 3.000]",False,2,1,21848,13.2,21211,637,19456,21211,637,19456,128
208,Knowledge retrieval and interpretation,Hard,attributes,2,"[2.000, 2.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",False,2,1,89854,12.7,89279,575,19456,89279,575,19456,256
213,Knowledge retrieval and interpretation,Medium,attributes,1,"[1.000, 1.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",True,1,0,10053,4.5,9817,236,9728,9817,236,9728,128
221,Knowledge retrieval and interpretation,Medium,attributes,4,"[4.000, 4.000]",0.6,"[0.600, 0.600]",2,"[2.000, 2.000]",False,6,5,461714,49.7,460287,1427,208896,460287,1427,208896,576
229,Knowledge retrieval and interpretation,Medium,attributes,4,"[4.000, 4.000]",0.2,"[0.200, 0.200]",2,"[2.000, 2.000]",False,2,1,20828,9.2,20375,453,19456,20375,453,19456,128
232,Advanced quantitative modeling and decision analytics,Hard,accuracy,3,"[3.000, 3.000]",0.0,"[0.000, 0.000]",3,"[3.000, 3.000]",True,14,13,211621,623.7,210058,1563,189952,210058,1563,189952,640
234,Advanced quantitative modeling and decision analytics,Hard,accuracy,2,"[2.000, 2.000]",0.0,"[0.000, 0.000]",1,"[1.000, 1.000]",False,16,15,251603,134.1,247572,4031,226176,247572,4031,226176,1856
244,Advanced quantitative modeling and decision analytics,Hard,accuracy,2,"[2.000, 2.000]",0.5,"[0.500, 0.500]",3,"[3.000, 3.000]",False,2,1,25664,33.7,23867,1797,19456,23867,1797,19456,576
245,Advanced quantitative modeling and decision analytics,Hard,accuracy,1,"[1.000, 1.000]",0.0,"[0.000, 0.000]",2,"[2.000, 2.000]",False,1,0,10678,11.6,9888,790,9728,9888,790,9728,256
249,Advanced quantitative modeling and decision analytics,Hard,accuracy,3,"[3.000, 3.000]",0.91,"[0.910, 0.910]",3,"[3.000, 3.000]",False,16,15,238501,83.8,235171,3330,223104,235171,3330,223104,832
