S/N,Category,Question type,Difficulty level,Question
12,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What is the mininum capacity threshold for large generation assets interconnecting to MISO's system at the transmission level, according to MISO Tariff Attachment X Generator Interconnection Procedures (GIP)?"
13,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the mininum capacity threshold for large generation assets interconnecting to SPP's system at the transmission level based on SPP Open Access Transmission Tariff Attachment V Generator Interconnection Procedures?
14,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the mininum capacity threshold for a large generation asset interconnecting to CAISO's system at the transmission level according to the information on the CAISO interconnection request and study website?
15,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in NYISO based on NYISO ancillary service manual?
16,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in PJM based on PJM process manuals 11?
17,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in ERCOT based on ERCOT nodal operating guide?
18,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in ISONE based on the M-REG manual?
19,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in CAISO based on the latest business process manual for market operations?
20,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the different valid resource types for asset registration in SPP based on the latest version of the integrated market protocols?
21,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the participation requirements for regulation service in MISO based on the MISO Business Process Manual 2 - Energy and Operating Reserve Markets?
22,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What detailed fees are associated with each decision point in the NYISO generation interconnection process?
23,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What detailed fees are associated with each decision point in the PJM generation interconnection process?
24,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the fees associated with each milestone in the ERCOT generation interconnection process?
25,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are associated with each stage of the generation interconnection process for large generators in ISO New England?
26,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are associated with each stage of the generation interconnection process in the MISO interconnection workflow?
27,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are associated with each stage of the generation interconnection process in SPP?
28,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are associated with the each step of the generation interconnection process only (excluding deliverability) in CAISO?
29,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in NYISO at the transmission level?
30,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in PJM athe transmission level?
31,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in ERCOT at the transmission level?
32,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in ISO New England at the transmission level?
33,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in MISO at the transmission level?
34,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in SPP at the transmission level?
35,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the mininum capacity threshold for a generation asset to be eligible for interconnection in CAISO at the transmission level?
36,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in NYISO?
37,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in PJM?
38,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in ERCOT?
39,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in ISONE?
40,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in CAISO?
41,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the different valid resource types for asset registration in SPP?
42,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the participation requirements for regulation service in MISO?
43,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in ERCOT West hub in July 1-4, 2024"
44,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the demand profile for ERCOT Houston zone in January 1 - 4, 2024"
45,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants only in ERCOT for December 1 - 4, 2024"
46,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in PJM AEP zone in July 1 - 4, 2023"
47,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the demand profile for PJM AEP load area in January 1 - 4, 2023"
48,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the supply profile for gas generators in PJM for December 1 - 4, 2023"
49,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in NYISO zone J in July 1 - 4, 2022"
50,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the demand profile for NYISO zone J in January 1 - 2, 2022"
51,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants only in NYISO for December 1 - 2, 2022"
61,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in ISONE Connecticut load zone in July 1 - 4, 2023"
62,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the day ahead cleared demand profile for ISONE for January 1 - 4, 2023"
63,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants in ISONE for December 1 - 2, 2023"
64,Markets data retrieval only,Data retrieval without sources,Medium,"Pull the real time energy prices in ERCOT West hub in April 1, 2024"
65,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the day-ahead energy prices in ERCOT West hub in July 1 - 4, 2024 based on data from your ERCOT database"
66,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the demand profile for ERCOT Houston hub in January 1 - 4, 2024 based on data from your ERCOT database"
67,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the generation profile for nuclear plants only in ERCOT for December 1 - 4, 2024 based on data from your ERCOT database"
68,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the day-ahead energy prices in PJM AEP zone in July 1 - 4, 2023 based on data from your PJM database"
69,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the demand profile for PJM AEP load area in January 1 - 4, 2023 based on data from your PJM database"
70,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the supply profile for gas generators in PJM for December 1 - 4, 2023 based on data from your PJM database"
71,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the day-ahead energy prices in NYISO zone J in July 1 - 4, 2022 based on database from your NYISO database"
72,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the demand profile for NYISO zone J in January 1 - 2, 2022 from your NYISO database"
73,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the generation profile for nuclear plants only in NYISO for December 1 - 2, 2022 from your NYISO database"
83,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the day-ahead energy prices in ISONE Connecticut load zone in July 1 - 4, 2023 from your ISONE database"
84,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the day ahead cleared demand profile for ISONE for January 1 - 4, 2023 from your ISONE database"
85,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the generation profile for nuclear plants in ISONE for December 1 - 2, 2023 from your ISONE database"
86,Markets data retrieval only,Data retrieval with sources,Easy,"Pull the real time energy prices in ERCOT West hub in April 1, 2024 from your ERCOT database"
87,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in ERCOT had the highest average price during summer of 2022 based on your ERCOT database?
88,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average ERCOT weekday and weekend day-ahead prices in summer of 2023 based on your ERCOT database?
89,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in PJM had the highest average price during summer of 2022 based on your PJM database?
90,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average PJM weekday and weekend day-ahead prices in summer of 2023 based on your PJM database?
91,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in NYISO had the highest average price during summer of 2022 based on your NYISO database?
92,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average NYISO weekday and weekend day-ahead prices in summer of 2023 based on your NYISO database?
93,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service across all regions in CAISO had the highest average price during summer of 2022 based on data from your GridStatus API 
94,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average CAISO weekday and weekend day-ahead energy prices in summer of 2023 across the 3 major trading hubs based on data from your GridStatus API 
95,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in SPP had the highest average price during summer of 2023 based on data from your GridStatus API 
96,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average SPP KCPL Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 based on data from your GridStatus API 
97,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in MISO had the highest average price during summer of 2022 based on data from your GridStatus API 
98,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average MISO Indiana Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 based on data from your GridStatus API 
100,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average ISONE weekday and weekend day-ahead prices in summer of 2023 based on data from your ISONE database?
101,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in ERCOT had the highest average price during summer of 2022?
102,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average ERCOT weekday and weekend day-ahead prices in summer of 2023?
103,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in PJM had the highest average price during summer of 2022?
104,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average PJM weekday and weekend day-ahead prices in summer of 2023?
105,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in NYISO had the highest average price during summer of 2022?
106,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average NYISO weekday and weekend day-ahead prices in summer of 2023?
107,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service across all regions in CAISO had the highest average price during summer of 2022 
108,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average CAISO weekday and weekend day-ahead prices in summer of 2023 across the 3 major pricing hubs 
109,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in SPP had the highest average price during summer of 2023 
110,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average SPP KCPL Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 
111,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in MISO had the highest average price during summer of 2022 
112,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average MISO Indiana Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 
114,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average ISONE weekday and weekend day-ahead prices in summer of 2023?
115,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,How does peak demand compare across all 7 US ISOs in 2024 
117,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,"How do day ahead prices compare across ERCOT houston, PJM AEP and NYISO zone J hubs in summer of 2024?"
118,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What is the correlation between hourly wind generation and demand profile in ERCOT based on 2024 data? How does this compare with PJM and NYISO?
119,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which of the seven U.S. ISOs had the highest MW?weighted share of projects that entered the interconnection queue during 2010 2024 and ultimately reached commercial operation (COD) within the same period? Include the completion rates for each of the ISOs
120,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Compare the average net revenues for a CCGT in ERCOT vs PJM based on 2020 market monitor reports data. How does this differ 2022 data and why?
121,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,How did volatility evolve in ERCOT West load zone in the day-ahead market vs real time market between 2020 and 2024?
122,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What were the electricity prices in ERCOT Houston hub during the top 10 outage periods in Texas Harris county in 2024?
123,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which ERCOT price hub had the highest real-time average price in January 2024 based on your ERCOT database?
124,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for ERCOT Houston hub in 2023 based on your ERCOT database
125,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did wind have the highest total MWh output in ERCOT in 2023 based on your ERCOT database?
126,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,How did wind generation compare in ERCOT between 2020 to 2024 based on your ERCOT database?
127,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which PJM price hub had the highest day-ahead average price in January 2024 based on your PJM database?
128,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for PJM AEP generation hub in 2023 based on your PJM database
129,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did wind have the highest total MWh output in PJM in 2023 based on your PJM database?
130,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,How did wind generation compare in PJM between 2020 to 2024 based on your PJM database?
131,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which NYISO load zone had the highest real-time average price in January 2024 based on your NYISO database?
132,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for NYISO zone J in 2023 based on your NYISO database
133,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did wind have the highest total MWh output in NYISO in 2023 based on your NYISO database?
134,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,How did wind generation compare in NYISO between 2020 to 2024 based on your NYISO database?
135,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,"Based on your interconnection database, which ISO had the most active battery storage projects in the queue as at the end of 2024?"
136,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which of the three main CAISO price hubs had the highest real-time average price in January 2024 based on data from your GridStatus API access 
137,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for CAISO SP15 zone in 2023 based on data from your GridStatus API access
140,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which of the main SPP trading hubs had the highest day-ahead average price in January 2024 based on data from your GridStatus API access 
141,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for SPP KCPL hub in 2023 based on data from your GridStatus API access
144,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which MISO price hub had the highest day-ahead average price in January 2024 based on data from your GridStatus API acess 
145,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for MISO Indiana hub in 2023 based on data from your GridStatus API access
146,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did solar have the highest total MWH monthly output in MISO in 2023 based on data from your GridStatus API access 
147,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,How did wind generation compare in MISO between 2023 and 2024 based on your GridStatus API access 
149,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for ISONE Connecticut load zone in 2023 based on data from your ISONE database
150,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did solar have the highest total MWh output in ISONE in 2023 based on data from your ISONE database access?
151,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,How did solar generation compare in ISONE between 2020 to 2024 based on your ISONE database access?
152,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which ERCOT price hub had the highest real-time average price in January 2024?
153,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for ERCOT Houston hub in 2023
154,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in ERCOT in 2023?
155,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in ERCOT between 2020 to 2024?
156,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which PJM price hub had the highest day-ahead average price in January 2024?
157,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for PJM AEP generation hub in 2023
158,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in PJM in 2023?
159,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in PJM between 2020 to 2024?
160,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which NYISO load zone had the highest real-time average price in January 2024?
161,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for NYISO zone J in 2023
162,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in NYISO in 2023?
163,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in NYISO between 2020 to 2024?
172,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which MISO price hub had the highest day-ahead average price in January 2024 
177,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for ISONE Connecticut load zone in 2023
178,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did solar have the highest total MWh output in ISONE in 2023?
179,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did solar generation compare in ISONE between 2020 to 2024?
180,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which ISO had the most battery storage in the queue as at the end of 2024?
181,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for NYISO got completed in under 5 years
182,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for PJM got completed in under 5 years
183,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for ERCOT got completed in under 5 years
184,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for SPP got completed in under 5 years
185,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for CAISO got completed in under 5 years
186,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for MISO got completed in under 5 years
187,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,What percentage of projects in the LBNL nterconnection queue data for ISONE got completed in under 5 years
188,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What demand charges apply to commercial customers with demand >500 kW in Virginia based on the OpenEI tariffs data?
189,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What demand charges apply to commercial customers with demand >500 kW in North Carolina based on the OpenEI tariffs data?
190,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in California, within PG&E's territory, based on the OpenEI tariffs data?"
191,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What demand charges apply to commercial customers with demand >500 kW in New York City based on the OpenEI tariffs data?
192,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What demand charges apply to commercial customers with demand >500 kW in North Carolina based on the OpenEI tariffs data?
193,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Maryland, within Baltimore Gas and Electric's service territory, based on the OpenEI tariffs data?"
194,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Chicago, based on the OpenEI tariffs data?"
195,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What demand charges apply to commercial customers with demand >500 kW in Minneapolis, based on the OpenEI tariffs data?"
196,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Dominion Energy commercial customer service class pays the highest demand charge in Virginia based on OpenEI tariffs data?
197,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What SMUD commercial customer service class pays the highest demand charge in California based on OpenEI tariffs data?
198,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Duke Energy Progress commercial customer service class pays the highest demand charge in North Carolina based on OpenEI tariffs data?
199,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Con Edison commercial customer service class pays the highest demand charge in Manhattan based on OpenEI tariffs data?
200,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What Consumers Energy commercial customer service class pays the highest demand charge in Grand Rapids, Michigan based on OpenEI tariffs data?"
201,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What BGE commercial customer service class pays the highest demand charge in Maryland based on OpenEI tariffs data?
202,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Com Ed commercial customer service class pays the highest demand charge in Chicago based on OpenEI tariffs data?
203,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What Xcel energy commercial customer service class pays the highest demand charge in Minneapolis based on OpenEI tariffs data?
204,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What are the docket numbers for the filings Google submitted to FERC between June and December 2024? Use your FERC docket tool
205,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"Find the docket numbers for the FERC filings with ""interconnection"" keyword made by PJM between June 1 and June 15, 2024. Use your FERC docket tool"
206,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,Give me 5 examples of tariffs that could apply to data centers within Austin Energy's territory in Texas based on Open EI tariffs data
207,Knowledge retrieval and interpretation,Data retrieval and analysis without sources,Hard,Which top 3 entities had the most number of filings in FERC's rule making proceedings on large load interconnection between December 2025?
208,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Hard,How do the capacity charges vary for commercial customers with demand >500 kW across each state served by Xcel Energy based on data from Open EI tariffs data?
209,Knowledge retrieval and interpretation,Data retrieval and analysis without sources,Hard,"Group interconnection-related FERC filings (use keyword ""interconnection"") made by PJM (and not other PJM related entities) in June 2024 into 3 categories (Interconnection & Service Agreements, Tariff, Market Rules & Governance, Litigation, Procedural & Stakeholder Participation) based on the descriptions and indicate the docket numbers for each of the buckets"
210,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,Which top 3 entities had the most number of filings in FERC's rule making proceedings on large load interconnection between OCtober and December? You should first find the docket number and use your FERC tool to get the filings before analyzing
211,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,"Group interconnection-related FERC filings (use keyword ""interconnection"") made by PJM (and not other PJM related entities) in June 2024 into 3 categories (Interconnection & Service Agreements, Tariff, Market Rules & Governance, Litigation, Procedural & Stakeholder Participation) based on the titles and indicate the docket numbers for each of the buckets. Use your FERC docket tool to get interconnection-related filings by PJM"
212,Knowledge retrieval and interpretation,Data retrieval and analysis with sources,Medium,Compare special tariffs applying to data centers in Virginia vs Texas based on your data center tariffs database only. Provide the response in this format 1. Main tariffs for Texas 2. Main tariffs for Virginia 3. Tabular comparison between both
213,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Virginia?
214,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in North Carolina?
215,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in California, within PG&E's territory?"
216,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in New York City?
217,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in Michigan, within Xcel Energy's service territory?"
218,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What demand charges apply to commercial customers with demand >500 kW in Maryland, within Baltimore Gas and Electric's service territory?"
219,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Chicago?
220,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What demand charges apply to commercial customers with demand >500 kW in Minneapolis?
221,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Dominion Energy commercial customer service class pays the highest demand charge in Virginia?
222,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What SMUD commercial customer service class pays the highest demand charge in California?
223,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Duke Energy Progress commercial customer service class pays the highest demand charge in North Carolina?
224,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What Con Edison commercial customer service class pays the highest demand charge in Manhattan, New York City?"
225,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What Consumers Energy commercial customer service class pays the highest demand charge in Grand Rapids, Michigan?"
226,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What BGE commercial customer service class pays the highest demand charge in Maryland?
227,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Com Ed commercial customer service class pays the highest demand charge in Chicago?
228,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What Xcel energy commercial customer service class pays the highest demand charge in Minneapolis?
229,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the docket numbers for the filings Google submitted to FERC between June and December 2024?
230,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"Find the docket numbers for the FERC filings relating to interconnection made by PJM between June 1 and June 15, 2024."
231,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,Give me 5 examples of tariffs that could apply to data centers within Austin Energy's territory in Texas
